기준연월,고객광역시군구명,전체이용건수,전체이용금액
202305,서울특별시,748094,23913272998
202306,대구광역시,77344,2070169271
202306,전라남도,57367,1768215676
202306,제주특별자치도,11805,315778687
202307,경상남도,86580,2408192001
202307,광주광역시,46478,1346833422
202307,대전광역시,233564,7978109599
202308,강원특별자치도,33493,916459205
202308,세종특별자치시,83443,3034756632
202308,울산광역시,31992,977100047
202308,인천광역시,210857,6684160304
202308,전라북도,120052,3788431703
202308,충청북도,119633,3774137837
202309,경기도,1354575,42160555714
202309,경상북도,69486,2157017634
202310,대구광역시,74395,2372005338
202310,전라남도,52683,1762634748
202310,제주특별자치도,9983,314021101
201901,부산광역시,73521,2676752604
201901,서울특별시,522614,17677529822
201902,대구광역시,46335,1529072501
201902,전라남도,48984,1492905966
201902,제주특별자치도,9824,280771806
201903,경상남도,95206,2778368281
201903,광주광역시,50814,1335127759
201903,대전광역시,272646,9241293610
201904,세종특별자치시,93868,3282785225
201904,울산광역시,34106,1116456673
201904,인천광역시,245461,6302704853
201904,전라북도,127628,3996493173
201904,충청북도,129195,4034499093
201905,강원도,40129,1085369374
201905,경기도,1470231,40534953522
201905,경상북도,81406,2456368108
201906,부산광역시,82853,2631993182
201906,서울특별시,702852,21717236977
201907,대구광역시,66408,2050059064
201907,전라남도,57911,1682667534
201907,제주특별자치도,11545,300798628
201908,경상남도,102094,2926076517
201908,광주광역시,55326,1472879463
201908,대전광역시,306209,9573235649
201909,세종특별자치시,91723,3015856821
201909,울산광역시,30623,913447656
201909,인천광역시,242451,6135474189
201909,전라북도,125936,3718820200
201909,충청북도,128659,3820476255
201910,부산광역시,91221,2965257344
201910,서울특별시,744136,23191456162
201911,대구광역시,66355,2226655867
201911,전라남도,61176,1817261090
201911,제주특별자치도,13366,344361548
201912,경상남도,87644,2781470536
201912,광주광역시,47492,1377992222
201912,대전광역시,247944,8569122206
202001,경상남도,80906,2453685467
202001,광주광역시,43370,1202857164
202001,대전광역시,239611,7831016307
202002,세종특별자치시,69212,2444948518
202002,울산광역시,22873,707374442
202002,인천광역시,143478,4319026939
202002,전라북도,93751,2894466470
202002,충청북도,91056,2886321050
202003,강원도,24000,671998289
202003,경기도,908560,27918280344
202003,경상북도,59044,1686629856
202004,부산광역시,71890,2303454416
202004,서울특별시,562003,18168001420
202005,대구광역시,59645,1775416795
202005,전라남도,52668,1556133996
202005,제주특별자치도,10455,264922005
202006,경상남도,86788,2361618246
202006,광주광역시,44823,1267315825
202006,대전광역시,256164,7953788499
202007,세종특별자치시,84814,2748084657
202007,울산광역시,27824,786141663
202007,인천광역시,200023,5502134776
202007,전라북도,114043,3290053898
202007,충청북도,120384,3637089906
202008,강원도,30504,785680056
202008,경기도,1233648,34543254124
202008,경상북도,72985,1974347797
202009,부산광역시,75483,2297241857
202009,서울특별시,625024,20388771937
202010,경상남도,86609,2580191708
202010,광주광역시,44455,1281610307
202010,대전광역시,260979,8532487698
202011,세종특별자치시,70925,2472050791
202011,울산광역시,27865,854727483
202011,인천광역시,194820,5514111493
202011,전라북도,105376,3439630050
202011,충청북도,102870,3607273899
202012,강원도,25868,693156440
202012,경기도,947719,28716907479
202012,경상북도,61014,1817766591
202101,세종특별자치시,60619,2190943019
202101,울산광역시,23483,733892985
202101,인천광역시,146343,4365195210
202101,전라북도,88202,3038508505
202101,충청북도,85622,2794938529
202102,강원도,23100,686199041
202102,경기도,899251,27834322970
202102,경상북도,54517,1638233200
202103,부산광역시,80648,2556564138
202103,서울특별시,576121,19165734630
202104,대구광역시,60934,1762808708
202104,전라남도,48769,1537957658
202104,제주특별자치도,9223,240093193
202105,경상남도,89446,2535125473
202105,광주광역시,42724,1290994774
202105,대전광역시,255569,8712200114
202106,세종특별자치시,75717,2634556118
202106,울산광역시,32908,919407952
202106,인천광역시,202605,5895115862
202106,전라북도,112839,3609013932
202106,충청북도,109990,3582542287
202107,강원도,29961,794578155
202107,경기도,1167959,36023809722
202107,경상북도,70976,2044735832
202108,부산광역시,83793,2502781125
202108,서울특별시,655557,22001506820
202109,대구광역시,58495,1755044510
202109,전라남도,47548,1480980747
202109,제주특별자치도,8818,230771799
202110,세종특별자치시,71979,2625065630
202110,울산광역시,31400,928390211
202110,인천광역시,203359,6090752445
202110,전라북도,110955,3900065480
202110,충청북도,111052,3696311375
202111,강원도,27567,811659150
202111,경기도,1053615,33810925825
202111,경상북도,66054,2084267062
202112,부산광역시,74949,2407429417
202112,서울특별시,517774,18388611226
